Sentence ,Masked Sentence,Options,Truth,Options,Rule
She alone had hollowed this fairy Alhambra in a mass of granite.,She alone <***> <***> this fairy Alhambra in a mass of granite.,"had,have*hollowed,hollows",had*hollowed,,S_V
"Hurrahs resounded, and the echo was repeated again and again till it died away in the dark naves.","Hurrahs resounded, and the echo <***> repeated again and again till it <***> away in the dark naves.","was,were*died,die",was*died.,,S_V
"Granite House, replied Harding; a name which his companions again saluted with a cheer.","Granite House, <***>Harding; a name which his companions again <***> with a cheer.","replied,replies*saluted,salute",replied*saluted,,S_V
"Before departing, Cyrus Harding leaned once more over the dark well, which descended perpendicularly to the level of the sea.","Before departing, Cyrus Harding <***> once more over the dark well, which<***> perpendicularly to the level of the sea.","leaned,leans*descended,descend",leaned*descended,,S_V
"No noise was heard, not even that of the water, which the undulations of the surge must sometimes agitate in its depths.","<***> noise <***> heard, not even that of the water, which the undulations of the surge must sometimes agitate in its depths.","No,never*was,were",No*was,,S_V
"The sides of the well were lighted up for an instant, but as at the first time, nothing suspicious was seen.","The sides of the well <***> lighted up for an instant, but as at the first time, nothing suspicious <***> seen.","were,was*was,is",were*was,,S_V
"Meanwhile, the engineer was standing motionless, his eyes fixed on the gulf, without uttering a word.","Meanwhile, the engineer<***> standing motionless, his eyes <***> on the gulf, without uttering a word.","was,is*fixed,fix",was*fixed,,S_V
"The sailor approached him, and touching his arm, ""Captain!"" said he.","The sailor <***>him, and touching his arm, ""Captain!"" <***> he.","approached,approach*said,say",approached*said,,S_V
"What do you want, my friend? asked the engineer, as if he had returned from the land of dreams.","What do you want, my friend? <***> the engineer, as if he <***> returned from the land of dreams.","asked,asks*had,have",asked*had,,S_V
The little band left the cavern and began to ascend through the dark passage.,The little band <***> the cavern and <***> to ascend through the dark passage.,"left,lefted*began,begun",left*began,,S_V
"Top closed the rear, was still growling every now and then.","Top closed the rear, <***> still <***> every now and then.","was,were*growling,growls",was*growling,,S_V
"The settlers rested a few minutes in the upper grotto, which made a sort of landing-place halfway up the long granite staircase.","The settlers <***> a few minutes in the upper grotto, which <***> a sort of landing-place halfway up the long granite staircase.","rested,rests*made,mades",rested*made,,S_V
"The drops of water, dried by evaporation, no longer sparkled on the walls.","The drops of water, <***> by evaporation, no longer <***> on the walls.","dried,dry*sparkled,sparkle",dried*sparkled,,S_V*N_P_I
"The one which Neb carried went out, and if they did not wish to find their way in the dark, they must hasten.","The one which Neb carried <***> out, and if <***> did not wish to find their way in the dark, they must hasten.","went,go*they,them",went*they,,S_V*N_P_I
"The next day, the 22nd of May, the arrangement of their new dwelling was commenced.","The next day, the 22nd of May, the arrangement of their new dwelling <***> <***>.","was,were*commenced,commence",was*commenced.,,S_V
"Their former dwelling was not, however, to be entirely abandoned, for the engineer intended to make a manufactory of it for important works.","Their former dwelling <***> not, however, to be entirely abandoned, for the engineer<***> to make a manufactory of it for important works.","was,were*intended,intends",was*intended,,S_V
Cyrus Harding's first care was to find out the position that was in the front of Granite House from the outside.,Cyrus Harding's first care <***> to find out the position that <***> in the front of Granite House from the outside.,"was,were*was,is",was*was,,S_V
"By an outside ladder, replied Cyrus Harding, ""a rope ladder, which, once drawn up, will render access to our dwelling impossible.""","By an outside ladder, <***> Cyrus Harding, ""a rope ladder, which, once drawn up, <***>render access to our dwelling impossible.""","replied,replies*will,shall",replied*will,,S_V
"As to our island being inhabited by natives, I don't believe it!""","As to our island <***> inhabited by natives, I <***> believe it!""","being,been*don't,doesn't",being*don't,,S_V*N_P_I
"Are you quite sure of that, Pencroft? asked the engineer, looking at the sailor.","<***> you quite sure of that, Pencroft? <***>the engineer, looking at the sailor.","Are,is*asked,asks",Are*asked,,S_V
"Of course we shall not be quite sure, till we have explored it in every direction, replied Pencroft.","Of course we <***> not be quite sure, till we <***> explored it in every direction, replied Pencroft.","shall,shouldn't*have,has",shall*have,,S_V
"Yes, said Harding, ""for we know only a small portion of it as yet.","Yes, <***> Harding, ""for we <***> only a small portion of it as yet.","said,says*know,knows",said*know,,S_V
"Cyrus Harding spoke wisely; and without making any further objection, Pencroft prepared to execute his orders.","Cyrus Harding <***> wisely; and without making any further objection, Pencroft <***> to execute his orders.","spoke,speak*prepared,prepares",spoke*prepared,,S_V
"Thus the winds from the northeast would only strike it obliquely, for it was protected by the projection.","Thus the winds from the northeast <***> only strike it obliquely, for it <***> protected by the projection.","would,should*was,were",would*was,,S_V
"This would have taken too long with the pickaxe alone, and it is known that Harding was an ingenious man.","This <***><***> taken too long with the pickaxe alone, and it is known that Harding was an ingenious man.","would,should*have,haves",would*have,,S_V
"He had still a quantity of nitro-glycerine at his disposal, and he employed it usefully.","He <***> still a quantity of nitro-glycerine at his disposal, and he <***> it usefully.","had,have*employed,employs",had*employed,,S_V
By means of this explosive substance the rock was broken open at the very places chosen by the engineer.,By means of this explosive substance the rock <***> broken open at the very places <***>by the engineer.,"was,were*chosen,chose",was*chosen,,S_V
"These rooms, or rather this suite of rooms, would not occupy all the depth of the cave.","These rooms, or rather this suite of rooms, <***> <***> occupy all the depth of the cave.","would,should*not,never",would*not,,S_V*N_P_I
"There would be also a corridor and a storehouse, in which their tools, provisions, and stores would be kept.","There <***> be also a corridor and a storehouse, in which their tools, provisions, and stores <***> be kept.","would,should*would,should",would*would,,S_V
"There was no want of space, so that each object could be methodically arranged.","There <***> no want of space, so that each object<***> be methodically arranged.","was,am*could,would",was*could,,S_V
"Besides, the colonists had still at their disposal the little grotto above the great cavern, which was like the garret of the new dwelling.","Besides, the colonists <***> still at their disposal the little grotto above the great cavern, which <***>like the garret of the new dwelling.","had,have*was,is",had*was,,S_V
"The miners became brickmakers again, then the bricks were brought to the foot of Granite House.","The miners <***> brickmakers again, then the bricks <***> brought to the foot of Granite House.","became,become*were,was",became*were,,S_V
"Till then, Harding and his companions had only entered the cavern by the long passage.","Till then, Harding and his companions<***> only <***> the cavern by the long passage.","had,have*entered,enters",had*entered,,S_V
"This was a great loss of time, and was also very fatiguing.","This<***> a great loss of time, and <***>also very fatiguing.","was,are*was,were",was*was,,S_V
"Other ropes were made with vegetable fibers, and a sort of crane with a tackle was fixed at the door.","Other ropes <***> made with vegetable fibers, and a sort of crane with a tackle <***> fixed at the door.","were,are*was,were",were*was,,S_V
In this way bricks could easily be raised into Granite House.,In this way bricks <***> easily be <***> into Granite House.,"could,would*raised,raises",could*raised,,S_V
"The transport of the materials being thus simplified, the arrangement of the interior could begin immediately.","The transport of the materials <***> thus simplified, the arrangement of the interior <***> begin immediately.","being,been*could,couldn't",being*could,,S_V
"There was no want of lime, and some thousands of bricks were there ready to be used.","There <***> no want of lime, and some thousands of bricks <***> there ready to be used.","was,is*were,are",was*were,,S_V
"These different works progressed rapidly under the direction of the engineer, who himself handled the hammer and the trowel.","These different works <***> rapidly under the direction of the engineer, who <***>handled the hammer and the trowel.","progressed,progresses*himself,herself",progressed*himself,,S_V*R_A
"No labor came amiss to Cyrus Harding, who thus set an example to his intelligent and zealous companions.","<***> labor <***> amiss to Cyrus Harding, who thus set an example to his intelligent and zealous companions.","No,none*came,come",No*came,,N_P_I*S_V
His faith in the engineer was complete; nothing could disturb it.,His faith in the engineer <***> complete; nothing <***> disturb it.,"was,were*could,would",was*could,,S_V
He himself believed him capable of undertaking anything and succeeding in everything.,He <***> <***> capable of undertaking anything and succeeding in everything.,"himself,herself*believed,believes",himself*believed,,R_A*S_V
"In fact, they were energetic; an energetic man will succeed where an indolent one would vegetate and inevitably perish.","In fact, they <***> energetic; an energetic man <***>succeed where an indolent one would vegetate and inevitably perish.","were,was*will,shall",were*will,,S_V
"He was intelligent and active; understanding quickly, he performed well; and Cyrus Harding became more and more attached to the boy.","He <***> intelligent and active; understanding quickly, he <***> well; and Cyrus Harding became more and more attached to the boy.","was,is*performed,performs",was*performed,,S_V
Herbert had a lively and reverent love for the engineer.,Herbert <***> a lively and reverent <***> for the engineer.,"had,have*love,loves",had*love,,S_V
"Pencroft saw the close sympathy which existed between the two, but he was not in the least jealous.","Pencroft <***> the close sympathy which existed between the two, but he <***> not in the least jealous.","saw,see*was,were",saw*was,,S_V
"Neb was Neb: he was what he would be always, courage, zeal, devotion, self-denial personified.","Neb was Neb: he <***> what he <***> be always, courage, zeal, devotion, self-denial personified.","was,is*would,could",was*would,,S_V
"He had the same faith in his master that Pencroft had, but he showed it less vehemently.","He <***> the same faith in his master that Pencroft had, but he <***> it less vehemently.","had,has*showed,shows",had*showed,,S_V
"When the sailor was enthusiastic, Neb always looked as if he would say, ""Nothing could be more natural.""","When the sailor <***> enthusiastic, Neb always looked as if he would say, ""Nothing <***> be more natural.""","was,were*could,would",was*could,,S_V
"A ""journalist,"" clever, not only in understanding, but in performing everything.","A ""journalist,"" clever, <***> only in understanding, but in <***> everything.","not,never*performing,performs",not*performing,,N_P_I*S_V
There were not less than a hundred rounds in this perpendicular height of eighty feet.,There <***><***> less than a hundred rounds in this perpendicular height of eighty feet.,"were,was*not,never",were*not,,N_P_I*S_V
"They were light and active, and Pencroft, as a sailor, accustomed to run up the masts and shrouds, was able to give them lessons.","They<***> light and active, and Pencroft, as a sailor, accustomed to run up the masts and shrouds, <***> able to give them lessons.","were,was*was,am",were*was,,S_V
But it was also necessary to give them to Top.,But it <***> also necessary to <***> them to Top.,"was,were*give,gives",was*give,,S_V
"The poor dog, with his four paws, was not formed for this sort of exercise.","The poor dog, with his four paws, <***> <***> for this sort of exercise.","was,is*not,never",was*not,,S_V*N_P_I
It need not be said that the sailor was proud of his pupil.,It need <***> be said that the sailor <***> proud of his pupil.,"not,never*was,were",not*was,,N_P_I*S_V
"However, more than once Pencroft hoisted him on his back, which Top never complained of.","However, more than once Pencroft <***> him on his back, which Top <***> complained of.","hoisted,hoist*never,no",hoisted*never,,S_V*N_P_I
"Every day, the reporter and Herbert, who had been voted purveyors to the colony, devoted some hours to the chase.","Every day, the reporter and Herbert, who <***> been voted purveyors to the colony, <***> some hours to the chase.","had,has*devoted,devot",had*devoted,,S_V
"All the immense woods, to which the name of the Forests of the Far West had been given, were not explored.","All the immense woods, to which the name of the Forests of the Far West <***> been given, <***> not explored.","had,has*not,never",had*not,,S_V*N_P_I
They have reserved this important excursion for the first fine days of the next spring.,They <***> <***> this important excursion for the first fine days of the next spring.,"have,has*reserved,reserves",have*reserved,,S_V
"But Jacamar Wood was full of game; kangaroos and boars abounded, and the hunters iron-tipped spears and bows and arrows did wonders.","But Jacamar Wood <***> full of game; kangaroos and boars <***>, and the hunters iron-tipped spears and bows and arrows did wonders.","was,is*abounded,abounds",was*abounded,,S_V
"Herbert gathered several shoots of the basil, rosemary, balm, betony, etc., which possess different medicinal properties, some pectoral, astringent.","Herbert <***> several shoots of the basil, rosemary, balm, betony, etc., which <***> different medicinal properties, some pectoral, astringent.","gathered,gathers*possess,possesses",gathered*possess,,S_V
"When, afterwards, Pencroft was asked the use of this collection of herbs,--","When, afterwards, Pencroft <***> <***> the use of this collection of herbs,--","was,were*asked,asks",was*asked,,S_V
"For medicine, replied the lad, ""to treat us when we are ill.""","For medicine,<***> the lad, ""to treat us when we <***> ill.""","replied,replies*are,is",replied*are,,S_V
"Why should we be ill, since there are no doctors in the island? asked Pencroft quite seriously.","Why <***> we be ill, since there <***> no doctors in the island? asked Pencroft quite seriously.","should,shouldn't*are,am",should*are,,S_V
"Besides these medicinal herbs, he added a plant known in North America as ""Oswego tea,"" which made an excellent beverage.","Besides these medicinal herbs, he <***>a plant known in North America as ""Oswego tea,"" which <***> an excellent beverage.","added,adds*made,mades",added*made,,S_V
"At last, by searching thoroughly, the hunters arrived at the real site of the warren.","At last, by <***>thoroughly, the hunters <***> at the real site of the warren.","searching,searches*arrived,arrives",searching*arrived,,S_V
"Almost immediately, hundreds of little animals, similar to rabbits, fled in every direction, with such rapidity that even the tiger could not overtake them.","Almost immediately, hundreds of little animals, similar to rabbits, <***> in every direction, with such rapidity that even the tiger could not  overtake <***>.","fled,flees*they,them",fled*them,,S_V*N_P_I
Hunters and dog ran in vain; these rodents escaped them easily.,Hunters and dog <***> in vain; these rodents <***> them easily.,"ran,run*escaped,escapes",ran*escaped,,S_V
"But the reporter resolved not to leave the place, until he had captured at least half-a-dozen of the quadrupeds.","But the reporter <***> not to leave the place, until he <***> captured at least half-a-dozen of the quadrupeds.","resolved,resolve*had,have",resolved*had,,S_V
"He wished to stock their larder first, and domesticate those which they might take later.","He <***> to stock their larder first, and domesticate those which they <***> take later.","wished,wishes*might,may",wished*might,,S_V
"It would not have been difficult to do this, with a few snares stretched at the openings of the burrows.","It would not <***> <***>  difficult to do this, with a few snares stretched at the openings of the burrows.","have,has*be,been",have*been,,S_V
"But at this moment they had neither snares, nor anything to make them of.","But at this moment they <***>neither snares, nor anything to <***> them of.","had,has*make,makes",had*make,,S_V
"At last, after half an hour, four rodents were taken in their holes.","At last, after half an hour, four rodents <***> <***> in their holes.","were,was*taken,took",were*taken,,S_V
"They were similar to their European brethren, and are commonly known by the name of American rabbits.","They <***> similar to their European brethren, and <***> commonly known by the name of American rabbits.","were,was*are,is",were*are,,S_V
"This produce of the chase was brought back to Granite House, and figured at the evening repast.","This produce of the chase <***> brought back to Granite House, and <***> at the evening repast.","was,were*figured,figures",was*figured,,S_V
"The tenants of the warren were not at all to be despised, for they were delicious.","The tenants of the warren <***> not at all to be despised, for they <***> delicious.","were,was*were,are",were*were,,S_V
"It was a valuable resource of the colony, and it appeared to be inexhaustible.","It <***> a valuable resource of the colony, and it <***> to be inexhaustible.","was,were*appeared,appearing",was*appeared,,S_V
"The rooms had now only to be furnished, and this would be work for the long winter days.","The rooms <***> now only to be furnished, and this <***> be work for the long winter days.","had,has*would,should",had*would,,S_V
"A chimney was established in the first room, which served as a kitchen.","A chimney <***> established in the first room, which <***>as a kitchen.","was,were*served,serves",was*served,,S_V
The pipe destined to conduct the smoke outside gave some trouble to these amateur bricklayers.,The pipe <***> to conduct the smoke outside <***> some trouble to these amateur bricklayers.,"destined,destiny*gave,give",destined*gave,,S_V
Masses of rock were rolled to the entrance and strongly cemented together.,Masses of rock <***> rolled to the entrance and strongly <***> together.,"were,was*cemented,cements",were*cemented,,S_V
"However, he used the waterfall so as to lead a small stream of fresh water to the new dwelling.","However, he <***> the waterfall so as to<***> a small stream of fresh water to the new dwelling.","used,uses*lead,led",used*lead,,S_V
"At last all was finished, and it was time, for the bad season was near.","At last all <***> finished, and it <***> time, for the bad season was near.","was,were*was,were",was*was,,S_V
"Thick shutters closed the windows of the facade, until the engineer had time to make glass.","Thick shutters <***> the windows of the facade, until the engineer <***> time to make glass.","closed,closes*had,has",closed*had,,S_V
"The inhabitants of this solid, healthy, and secure dwelling, could not but be charmed with their work.","The inhabitants of this solid, healthy, and secure dwelling, <***> but be <***> with their work.","could,would*charmed,charms",could*charmed,,S_V
"The winter season set in with the month of June, which corresponds with the month of December in the Northern Hemisphere.","The winter season <***> in with the month of June, which<***> with the month of December in the Northern Hemisphere.","set,sets*corresponds,corresponded",set*corresponds,,S_V
"It began with showers and squalls, which succeeded each other without intermission.","It <***> with showers and squalls, which <***> each other without intermission.","began,begun*succeeded,succed",began*succeeded,,S_V
The tenants of Granite House could appreciate the advantages of a dwelling which sheltered them from the inclement weather.,The tenants of Granite House <***> appreciate the advantages of a dwelling which <***>them from the inclement weather.,"could,would*sheltered,shelters",could*sheltered,,S_V
"Cyrus Harding had taken precautions against this contingency, so as to preserve as much as possible the forge and furnace which were established there.","Cyrus Harding <***> taken precautions against this contingency, so as to preserve as much as possible the forge and furnace which <***> established there.","had,have*were,was",had*were,,S_V
"Pencroft, so soon as he had leisure, proposed to set some traps, from which he expected great results.","Pencroft, so soon as he<***> leisure, proposed to set some traps, from which he <***> great results.","had,have*expected,expects",had*expected,,S_V
"He soon made some snares with creepers, by the aid of which the warren henceforth every day furnished its quota of rodents.","He soon <***> some snares with creepers, by the aid of which the warren henceforth every day <***> its quota of rodents.","made,mades*furnished,furnish",made*furnished,,S_V
The tenants of Granite House could appreciate the advantages of a dwelling which sheltered them from the inclement weather.,The tenants of Granite House <***> appreciate the advantages of a dwelling which <***>them from the inclement weather.,"could,can't*sheltered,shelters",could*sheltered,,S_V
"Cyrus Harding had taken precautions against this contingency, so as to preserve as much as possible the forge and furnace which were established there.","Cyrus Harding <***> taken precautions against this contingency, so as to preserve as much as possible the forge and furnace which <***>established there.","had,have*were,was",had*were,,S_V
"Pencroft, so soon as he had leisure, proposed to set some traps, from which he expected great results.","Pencroft, so soon as he <***> leisure, proposed to set some traps, from which he <***> great results.","had,have*expected,expects",had*expected,,S_V
"He then shut the door, and, coming up to her, claimed the good wishes and affection of a sister.","He then <***> the door, and, coming up to her, <***> the good wishes and affection of a sister.","shut,shuts*claimed,claims",shut*claimed,,S_V
"Neb employed nearly all his time in salting or smoking meat, which insured their always having plenty of provisions.","Neb <***> nearly all his time in salting or smoking meat, which insured their always <***> plenty of provisions.","employed,employ*having,have",employed*having,,S_V
"Moreover, if the winter was severe, the settlers would suffer greatly from cold.","Moreover, if the winter <***> severe, the settlers <***>suffer greatly from cold.","was,were*would,should",was*would,,S_V
On this was the subject in the ingenuity of Harding was at fault.,On this<***> the subject in the ingenuity of Harding <***> at fault.,"was,were*was,were",was*was,,S_V
They must therefore make up their minds to pass this first winter without additional clothing.,They<***> therefore <***> up their minds to pass this first winter without additional clothing.,"must,might*make,makes",must*make,,S_V
"Well, we are free to roast ourselves at Granite House! said Pencroft.","Well, we <***> free to roast <***> at Granite House! said Pencroft.","are,is*ourselves,themselves",are*ourselves,,S_V*R_A
"There are heaps of fuel, and no reason for sparing it.","There <***> heaps of fuel, and no reason for <***> it.","are,is*sparing,spares",are*sparing,,S_V
"Besides, added Gideon Spilett, ""Lincoln Island is not situated under a very high latitude, and probably the winters here are not severe.","Besides, added Gideon Spilett, ""Lincoln Island <***> not situated under a very high latitude, and probably the winters here <***> not severe.","is,are*are,were",is*are,,S_V
"Did you not say, Cyrus, that this thirty-fifth parallel corresponded to that of Spain in the other hemisphere?""","<***> you not say, Cyrus, that this thirty-fifth parallel <***> to that of Spain in the other hemisphere?""","Did,does*corresponded,correspond",Did*corresponded,,S_V
"Doubtless, replied the engineer, ""but some winters in Spain are very cold!","Doubtless, <***>the engineer, ""but some winters in Spain <***> very cold!","replied,replies*are,is",replied*are,,S_V
No want of snow and ice; and perhaps Lincoln Island is just as rigourously tried.,<***> want of snow and ice; and perhaps Lincoln Island<***> just as rigourously tried.,"No,never*is,are",No*is,,N_P_I*S_V
"However, it is an island, and as such, I hope that the temperature will be more moderate.""","However, it <***> an island, and as such, I hope that the temperature<***> be more moderate.""","is,are*will,shall",is*will,,S_V
"Because the sea, my boy, may be considered as an immense reservoir, in which is stored the heat of the summer.","Because the sea, my boy, <***> be considered as an immense reservoir, in which <***> stored the heat of the summer.","may,might*is,are",may*is,,S_V
But I don't want to bother myself about whether it will be cold or not.,But I <***> want to bother <***> about whether it will be cold or not.,"don't,doesn't*myself,ourselves",don't*myself,,N_P_I*R_A
"One thing is certain, that is that the days are already short, and the evenings long.","One thing <***> certain, that <***> that the days are already short, and the evenings long.","is,are*is,was",is*is,,S_V
It was Whit Sunday and they agreed to observe this feast.,It <***> Whit Sunday and they <***> to observe this feast.,"was,were*agreed,agrees",was*agreed,,S_V
"All work was suspended, and prayers were offered to Heaven.","All work <***> suspended, and prayers <***>offered to Heaven.","was,were*were,are",was*were,,S_V
The settlers in Lincoln Island were no longer the miserable castaways thrown on the islet.,The settlers in Lincoln Island <***> no longer the miserable castaways <***> on the islet.,"were,was*thrown,threw",were*thrown,,S_V
"The next day, the 5th of June, in rather uncertain weather, they themselves set out for the islet.","The next day, the 5th of June, in rather uncertain weather, they <***> <***> out for the islet.","themselves,ourselves*set,sets",themselves*set,,R_A*S_V
"The seals were numerous, and the hunters, armed with their iron-tipped spears, easily killed half-a-dozen.","The seals <***> numerous, and the hunters, <***> with their iron-tipped spears, easily killed half-a-dozen.","were,was*armed,arms",were*armed,,S_V
"The result of the hunt was this: nearly three hundred pounds of fat, all to be employed in the fabrication of candles.","The result of the hunt <***> this: nearly three hundred pounds of fat, all to be<***> in the fabrication of candles.","was,were*employed,employ",was*employed,,S_V
"The operation was extremely simple, and if it did not yield absolutely perfect results, they were at least very useful.","The operation <***> extremely simple, and if it did not yield absolutely perfect results, they<***> at least very useful.","was,were*were,was",was*were,,S_V
"But to simplify the operation, he himself preferred to saponify the fat by means of lime.","But to simplify the operation, he <***> <***>to saponify the fat by means of lime.","himself,herself*preferred,prefers",himself*preferred,,R_A*S_V
"From these three acids-oleic, margaric, and stearic-the first, being liquid, was driven out by a sufficient pressure.","From these three acids-oleic, margaric, and stearic-the first,<***>liquid, <***> driven out by a sufficient pressure.","being,been*was,were",being*was,,S_V
"As to the two others, they formed the very substance of which the candles were to be molded.","As to the two others, they <***> the very substance of which the candles <***> to be molded.","formed,forms*were,was",formed*were,,S_V
This operation did not last more than four hours and was completely devastating to see.,This operation did not <***> more than four hours and <***> completely devastating to see.,"last,lasts*was,were",last*was,,N_P_I*S_V
During this month there was no want of work in the interior of their new dwelling.,During this month there <***> no want of work in the interior of their new <***>l.,"was,were*dwelling,dwell",was*dwelling.,,S_V
"They improved their tools, which were very rough, and added others also.","They <***> their tools, which <***>very rough, and added others also.","improved,improves*were,was",improved*were,,S_V
"Herbert had none, Neb but little, but their companions were bristling in a way which justified the making of the said scissors.","Herbert <***> none, Neb but little, but their companions <***> bristling in a way which justified the making of the said scissors.","had,has*were,was",had*were,,S_V
"They then made tables, seats, cupboards, to furnish the principal rooms, and bedsteads, of which all the bedding consisted of grass mattresses.","They then <***> tables, seats, cupboards, to <***> the principal rooms, and bedsteads, of which all the bedding consisted of grass mattresses.","made,mades*furnish,furnished",made*furnish,,S_V
But the joiners had soon to be replaced by carpenters.,But the joiners <***> soon to be <***> by carpenters.,"had,has*replaced,replaces",had*replaced,,S_V
"In fact, the waterfall created by the explosion rendered the construction of two bridges necessary, one on Prospect Heights, the other on the shore.","In fact, the waterfall<***>by the explosion <***>rendered the construction of two bridges necessary, one on Prospect Heights, the other on the shore.","created,creates*rendered,render",created*rendered,,S_V
"To avoid it the colonists had been obliged to make a considerable detour, by climbing up to the source of the Red Creek.","To avoid it the colonists <***> been obliged to make a considerable detour, by <***> up to the source of the Red Creek.","had,has*climbing,climbs",had*climbing,,S_V
"The simplest thing was to establish on the plateau, and on the shore, two bridges from twenty to five and twenty feet in length.","The simplest thing <***> to establish on the plateau, and on the shore, two <***> from twenty to five and twenty feet in length.","was,were*bridges,bridge",was*bridges,,S_V
All the carpenter's work that was needed was to clear some trees of their branches: this was a business of some days.,All the carpenter's work that <***> needed was to clear some trees of their branches: this <***> a business of some days.,"was,were*was,is",was*was,,S_V
"Directly the bridges were established, Neb and Pencroft profited by them to go to the oyster-bed which had been discovered near the downs.","Directly the bridges <***> established, Neb and Pencroft profited by them to go to the oyster-bed which <***> been discovered near the downs.","were,are*had,have",were*had,,S_V
"These molluscs were of excellent quality, and the colonists consumed some daily.","These molluscs <***>of excellent quality, and the colonists <***> some daily.","were,are*consumed,consumes",were*consumed,,S_V
And he showed his companions a grain--a single grain--which from a hole in his pocket had got into the lining of his waistcoat.,And he <***> his companions a grain--a single grain--which from a hole in his pocket <***> got into the lining of his waistcoat.,"showed,shows*had,have",showed*had,,S_V
"Well, my boy, said Pencroft, laughing, ""we're getting on capitally, upon my word!","Well, my boy, <***> Pencroft, <***>, ""we're getting on capitally, upon my word!","said,says*laughing,laugh",said*laughing,,S_V
"We will make bread of it, replied Cyrus Harding.","We <***> make bread of it, <***> Cyrus Harding.","will,shall*replied,replies",will*replied,,S_V
"Come, the bread that this grain of corn will make won't choke us very soon!","<***>, the bread that this grain of corn <***>make won't choke us very soon!","Come,came*will,shall",Come*will,,S_V
"One, I suppose! replied the sailor, surprised at the question.","One, I <***>! replied the sailor, <***>at the question.","suppose,supposing*surprised,suprise",suppose*surprised,,S_V
"In a few years, without the numerous causes of destruction, which arrests their fecundity, these plants would overrun the earth.""","In a few years, without the numerous causes of destruction, which <***> their fecundity, these plants <***> overrun the earth.""","arrests,arrest*would,should",arrests*would,,S_V
"And now, Pencroft, he continued, ""do you know how many bushels four hundred thousand millions of grains would make?""","And now, Pencroft, he <***>, ""do you know how many bushels four hundred thousand millions of grains <***> make?""","continued,continues*would,should",continued*would,,S_V
"No, replied the sailor; ""but what I do know is, that I am nothing better than a fool!""","<***>, replied the sailor; ""but what I do know <***>, that I am nothing better than a fool!""","No,never*is,are",No*is,,N_P_I*S_V
"Well, they would make more than three millions, at a hundred and thirty thousand a bushel, Pencroft.","Well, they <***> <***> more than three millions, at a hundred and thirty thousand a bushel, Pencroft.","would,should*make,makes",would*make,,S_V
"At that, according to his usual custom, Pencroft himself could not reply otherwise than by a tremendous hurrah.","At that, according to his usual custom, Pencroft <***> could not <***> otherwise than by a tremendous hurrah.","himself,themselves *reply,replies",himself*reply,,R_A*S_V
"So, Herbert, added the engineer, ""you have made a discovery of great importance to us.","So, Herbert, <***> the engineer, ""you <***> made a discovery of great importance to us.","added,adds*have,has",added*have,,S_V
"Everything, my friends, everything can serve us in the condition in which we are.","Everything, my friends, everything <***> serve us in the condition in which we <***>.","can,could*are,is",can*are,,S_V
"Yes, added Gideon Spilett, ""and with every possible care, for it bears in itself our future harvests.""","Yes, <***> Gideon Spilett, ""and with every possible care, for it bears in <***> our future harvests.""","added,adds*itself,himself",added*itself,,S_V*R_A
The time was then propitious for sowing this single precious grain of corn.,The time <***> then propitious for <***> this single precious grain of corn.,"was,were*sowing,sows",was*sowing,,S_V
"This was done that very day, and it is needless to add, that every precaution was taken that the experiment might succeed.","This <***> done that very day, and it is needless to add, that every precaution <***> taken that the experiment might succeed.","was,were*was,is",was*was,,S_V
"The weather having cleared, the settlers climbed the height above Granite House.","The weather <***> cleared, the settlers <***> the height above Granite House.","having,has*climbed,climbs",having*climbed,,S_V
"There, on the plateau, they chose a spot, well sheltered from the wind, and exposed to all the heat of the midday sun.","There, on the plateau, they <***> a spot, well sheltered from the wind, and <***> to all the heat of the midday sun.","chose,chosen*exposed,expose",chose*exposed,,S_V
Did it not seem as if the settlers were laying the first stone of some edifice?,<***> it not seem as if the settlers <***> laying the first stone of some edifice?,"Did,does*were,was",Did*were,,S_V
"It recalled to Pencroft the day on which he lighted his only match, and all the anxiety of the operation.","It <***> to Pencroft the day on which he <***> his only match, and all the anxiety of the operation.","recalled,recalls*lighted,lights",recalled*lighted,,S_V
"From this time Pencroft did not let a single day pass without going to visit what he gravely called his ""corn-field.""","From this time Pencroft <***> let a single day pass without going to visit what he gravely<***> his ""corn-field.""","didn't,doesn't*called,calls",didn't*called,,N_P_I*S_V
"Until a more complete exploration, it might be admitted that the island was uninhabited.","Until a more complete exploration, it <***> be admitted that the island <***>uninhabited.","might,may*was,were",might*was,,S_V
"The next day, the 30th of June, the day which corresponds to the 31st of December in the northern year, was a Friday.","The next day, the 30th of June, the day which <***> to the 31st of December in the northern year, <***>a Friday.","corresponds,corresponded*was,were",corresponds*was,,S_V
"Ice accumulated at the mouth of the Mercy, and it was not long before the whole expanse of the lake was frozen.","Ice <***>at the mouth of the Mercy, and it <***> not long before the whole expanse of the lake was frozen.","accumulated,accumulates*was,is",accumulated*was,,S_V
The settlers had frequently been obliged to renew their store of wood.,The settlers<***> frequently been obliged to <***> their store of wood.,"had,have*renew,renews",had*renew,,S_V
"Pencroft also had wisely not waited till the river was frozen, but had brought enormous rafts of wood to their destination.","Pencroft also <***>wisely not waited till the river was frozen, but <***> brought enormous rafts of wood to their destination.","had,have*had,has",had*had,,S_V
